version	codename	file	treatment
v1.37	Garhwal	v1.37.svg	
v1.36	Haru	v1.36.svg	
v1.35	Timbernetes	v1.35.svg	
v1.34	O'WaW	v1.34.png	
v1.33	Octarine	v1.33.svg	reviewed
v1.32	Penelope	v1.32.png	
v1.31	Elli	v1.31.png	
v1.30	Uwubernetes	v1.30.png	
v1.29	Mandala	v1.29.png	
v1.28	Planternetes	v1.28.png	
v1.27	Chill Vibes	v1.27.png	
v1.26	Electrifying	v1.26.png	
v1.25	Combiner	v1.25.png	
v1.24	Stargazer	v1.24.svg	reviewed
v1.23	The Next Frontier	v1.23.png	
v1.22	Reaching New Peaks	v1.22.png	
v1.21	Power to the Community	v1.21.png	
v1.20	The Raddest Release	v1.20.png	
v1.19	Accentuate The Paw-sitive	v1.19.png	
v1.18	A Bit Quarky	v1.18.png	
v1.17	The Chillest Release	v1.17.png	
v1.16	Unlimited Breadsticks For All	v1.16.png	
v1.15	The Persevering Release	v1.15.jpeg	keyline
v1.14	Caturnetes	v1.14.jpeg	reviewed
v1.13	Angel Release	v1.13.png	keyline
v1.12	A next iteration in the evolving stable distributed system	v1.12.png	reviewed
v1.11	Eleventy-One: A Long-Expected Release	v1.11.png	
v1.10	Left Shark	v1.10.png	
